"";"alpha";"gamma0";"gamma1";"phi";"zl";"zh"
"acf1_1";0,9961;0,788;0,997;0,98;0,92385;0,9561
"acf10_1";0,9722;0,19;0,978;0,925;0,7127;0,8025
"acf30_1";0,93;0,009;0,947;0,911;0,4866;0,64115
"Acc_1";0,24895;0,257;0,257;0,214;0,25;0,25
"ESS_1";0,00125;0,08;0,001;0;0,01625;0,00775
"CD_1";0,0503;0,175;0;0;0,10895;0,1415
"acf1_2";0,8914;0,73;0,898;0,75;0,84905;0,7655
"acf10_2";0,529;0,034;0,398;0,067;0,37395;0,14935
"acf30_2";0,3179;-0,017;0,145;-0,011;0,17435;0,0476
"Acc_2";0,2504;0,25;0,25;0,218;0,25;0,25
"ESS_2";0,03245;0,156;0,041;0,136;0,0603;0,1049
"CD_2";0,21305;0,399;0,04;0,146;0,2995;0,25625
"acf1_3";0,5268;0,017;0,401;0,04;0,36745;0,14925
"acf10_3";0,13475;-0,005;0,054;0,028;0,05745;0,01095
"acf30_3";0,0216;0,022;0,003;0,004;0,0053;0,0075
"Acc_3";0,92625;0,934;0,934;0,907;0,25;0,25
"ESS_3";0,2286;1;0,345;0,926;0,4447;0,66435
"CD_3";0,20935;0,402;0,033;0,013;0,27545;0,2587
